name,description,category,price,page_name,loc
Chicken Cheese Bombs,Fried chicken balls stuffed with melted cheese.,Teasers,299,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Spicy Cajun Fries,French fries sprinkled with cajun spice.,Teasers,159,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Fries - Salt  Pepper,Classic french fries.,Teasers,139,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Onion Rings,Deep fried onion rings with breadcrumbs,Teasers,149,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Spicy Garlic Mushrooms,Mushroom fried with garlic  mustard sauce.,Teasers,269,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Paneer Sticks,Deshi cottage cheese sticks fried with breadcrumbs; served with deshi mint chutney.,Teasers,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Buffalo,Chicken wings/ Bangkok style fried chicken dipped in hot sweet  sour pepper sauce.,Crispy Chicken,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Naga-Tastic,Chicken wings/ Bangkok style fried chicken dipped in spicy naga sauce.,Crispy Chicken,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Honey Garlic,Chicken wings/ Bangkok style fried chicken dipped in honey garlic sauce.,Crispy Chicken,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Original,Original chicken wings/ Bangkok style fried chicken.,Crispy Chicken,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
The BIG Rob,Beef cheese burger topped with fried chicken sausages,Classic Burgers,379,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Mushroom Melt,Beef cheese burger topped with mushroom  chicken gravy,Classic Burgers,379,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Madchef's FAV,A mix of our two best house sauces: garlic mayo  naga Blast; topped with crispy pepperoni bits.,Classic Burgers,379,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Signature Chicken,Classic chicken cheeseburger with a choice of signature madhouse sauce.,Classic Burgers,269,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Signature Beef,Classic beef cheeseburger with a choice of signature madhouse sauce.,Classic Burgers,299,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
The HAWK,Double beef cheese burger topped with shredded crispy pepperoni  beef bacon.,Gourmet Burgers,619,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Smokin' Chic,Bbq chicken cheeseburger topped with smoked chicken layer  beef bacon.,Gourmet Burgers,419,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
The Cuban,Beef cheeseburger topped with smoked chicken  mustard sauce,Gourmet Burgers,419,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
