,name,description,category,price,page_name,loc,Personal_S_Price,Large_S_Price
0,Garlic Bread Sticks - Family,"Freshly made bread sticks, sprinkled with garlic seasoning & brushed with garlic butter.",Appetisers,149,PizzaHut,Dhaka,0.0,0.0
1,Garlic Bread - Family,"In the Italian tradition-hot garlic butter, spread on four slices of crusty french bread.",Appetisers,189,PizzaHut,Dhaka,0.0,0.0
2,Baked Potato Wedges - Family,Crisp & savoury potato wedges served with dipping sauces.,Appetisers,259,PizzaHut,Dhaka,0.0,0.0
3,Spicy Garlic Mushrooms - Family,Button mushrooms lightly sauteed in a blend of herbs & spice garlic.,Appetisers,489,PizzaHut,Dhaka,0.0,0.0
4,Garlic Bread Spicy Supreme - Family,"Topped with Cheese, Onion & Green Chilies.",Appetisers,299,PizzaHut,Dhaka,0.0,0.0
5,Cheesy Garlic Sticks - Family,Breadsticks with hot melting cheese on top.,Appetisers,209,PizzaHut,Dhaka,0.0,0.0
6,Garlic bread with cheese - Family,Hot Garlic Bread topped with Mozzarella Cheese.,Appetisers,289,PizzaHut,Dhaka,0.0,0.0
7,7 UP - Medium,7UP (600ml),Drinks,35,PizzaHut,Dhaka,0.0,0.0
8,Mountain Dew - Family,Mountain Dew (600 ml),Drinks,32,PizzaHut,Dhaka,0.0,0.0
9,PEPSI - Family,PEPSI (600 ml),Drinks,35,PizzaHut,Dhaka,0.0,0.0
10,Chicken Cheese Bombs,Fried chicken balls stuffed with melted cheese.,Teasers,299,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
11,Spicy Cajun Fries,French fries sprinkled with cajun spice.,Teasers,159,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
12,Fries - Salt  Pepper,Classic french fries.,Teasers,139,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
13,Onion Rings,Deep fried onion rings with breadcrumbs,Teasers,149,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
14,Spicy Garlic Mushrooms,Mushroom fried with garlic  mustard sauce.,Teasers,269,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
15,Paneer Sticks,Deshi cottage cheese sticks fried with breadcrumbs; served with deshi mint chutney.,Teasers,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
16,Buffalo,Chicken wings/ Bangkok style fried chicken dipped in hot sweet  sour pepper sauce.,Crispy Chicken,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
17,Naga-Tastic,Chicken wings/ Bangkok style fried chicken dipped in spicy naga sauce.,Crispy Chicken,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
18,Honey Garlic,Chicken wings/ Bangkok style fried chicken dipped in honey garlic sauce.,Crispy Chicken,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
19,Original,Original chicken wings/ Bangkok style fried chicken.,Crispy Chicken,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
20,The BIG Rob,Beef cheese burger topped with fried chicken sausages,Classic Burgers,379,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
